"x"
"XM_016677129.1"
"XM_007549497.2"
"XM_007550355.2"
"XM_007559763.2"
"XM_007567581.2"
"XM_007574461.2"
"XM_007575928.2"
"XM_016661213.1"
"XM_016661215.1"
"XM_016662040.1"
"XM_016669369.1"
"XM_016669620.1"
"XM_016670287.1"
"XM_016671994.1"
"XM_016672138.1"
"XM_016672488.1"
"XM_016676589.1"
"XM_016676867.1"
"XM_016677703.1"
"XM_007548008.2"
"XM_016674825.1"
"XM_016680633.1"
"XM_016674629.1"
"XM_007565884.2"
"XM_007541045.2"
"XM_016675706.1"
"XM_007578713.2"
"XM_016676551.1"
"XM_007559346.2"
"XM_016675063.1"
"XM_007540853.2"
"XM_007567647.2"
"XM_007542522.2"
"XM_016679435.1"
"XM_007573773.2"
"XM_016676967.1"
"XM_007559007.2"
"XM_007558840.2"
"XM_007564136.2"
"XM_007560990.2"
"XM_016677832.1"
"XM_016669456.1"
"XM_007564058.2"
"XM_016664201.1"
"XM_007577776.2"
"XM_007545983.2"
"XM_016661826.1"
"XM_007563080.2"
"XM_007561689.2"
"XM_007562527.2"
"XM_016680539.1"
"XM_016670014.1"
"XM_007558066.2"
"XM_007558222.2"
"XM_016667071.1"
"XM_016671409.1"
"XM_007564133.2"
"XM_007560773.2"
"XM_007542988.2"
"XM_016661761.1"
"XM_016663539.1"
"XM_007578860.2"
"XM_007554798.2"
"XM_016669749.1"
"XM_016674967.1"
"XM_016670745.1"
"XM_007540756.2"
"XM_016681562.1"
"XM_007552929.2"
"XM_007553338.2"
"XM_016673480.1"
"XM_007545389.2"
"XM_007557860.2"
"XM_007550773.2"
"XM_007554156.2"
"XM_007540210.2"
"XM_007572730.2"
"XM_007567516.2"
"XM_007545573.1"
"XM_007572213.2"
"XM_007551187.2"
"XM_007547317.2"
"XM_016671902.1"
"XM_016671662.1"
"XM_016668994.1"
"XM_016675540.1"
"XM_007545233.2"
"XM_016668888.1"
"XM_007556965.2"
"XM_007567617.2"
"XM_007559503.2"
"XM_016676999.1"
"XM_016671502.1"
"XM_016667112.1"
"XM_016668821.1"
"XM_007562030.2"
"XM_016670473.1"
"XM_007543137.2"
"XM_007544883.2"
"XM_007546084.2"
"XM_016666813.1"
"XM_007559077.2"
"XM_016667815.1"
"XM_007569686.2"
"XM_016665397.1"
"XM_016673020.1"
"XM_016675317.1"
"XM_007555699.2"
"XM_007553554.2"
"XM_016673979.1"
