XM_007562969.2
XM_016673460.1
XM_007563914.2
XM_007551023.2
XM_007556365.2
XM_007562190.2
XM_007567616.2
XM_016663046.1
XM_007567611.2
XM_007576740.2
XM_016680539.1
XM_016668941.1
XM_007572213.2
XM_007562330.2
XM_007555699.2
XR_001661457.1
XM_016661215.1
XM_016676218.1
XM_016669389.1
XM_016673979.1
XM_007560974.2
XM_016677354.1
XM_016672617.1
XM_007553338.2
XM_016676867.1
XM_016673175.1
XM_016679434.1
XM_016672265.1
XM_016672273.1
XM_016680088.1
XM_007556891.2
XM_016661809.1
XM_007575928.2
XM_007552475.2
XM_007558297.2
XM_007547367.2
XM_007576128.2
XM_007542498.2
XM_016670287.1
XM_016671994.1
XM_016669902.1
XM_007561298.2
XM_007551584.2
XM_016681363.1
XM_007565564.2
XM_007548966.2
XM_007568752.2
XM_016667695.1
XM_016681541.1
XM_016664064.1
XM_016669996.1
XM_016673176.1
XM_016669668.1
XM_016679568.1
XM_007564698.2
XM_007576887.2
XM_016677361.1
XM_007572686.2
XM_007553533.2
XM_016663553.1
XM_007544718.2
XM_016679281.1
XM_016667704.1
XM_016672604.1
XM_016681272.1
XM_016681138.1
XM_007556976.2
XM_016671317.1
XM_016678284.1
