XM_007540860.2
XM_007541421.2
XM_007544503.2
XM_007567516.2
XM_007571333.2
XM_016668281.1
XM_016669529.1
XM_016671304.1
XM_016671662.1
XM_016675244.1
XM_016678020.1
XM_016679576.1
XR_001663758.1
XM_016674301.1
XM_007569174.2
XM_016678915.1
XM_007565081.2
XM_007548053.2
XM_007567617.2
XM_007559233.2
XM_016679038.1
XM_007545691.2
XM_016681347.1
XM_016675231.1
XM_007575651.2
XM_016677428.1
XM_007548596.2
XM_016673340.1
XM_016674135.1
XM_016674397.1
XM_016661151.1
XM_007553554.2
XM_007565225.2
XM_007567581.2
XM_016662391.1
XM_007553578.2
XM_016670309.1
XM_007543154.2
XM_007561480.2
XM_007554251.2
XM_007559882.2
XM_016672518.1
XM_016661567.1
XM_007564990.2
XM_016672553.1
XM_016673039.1
XM_007550121.2
XM_007554161.2
XM_016669483.1
XM_007555819.2
XM_007579087.2
XM_016680565.1
XM_007572298.2
XM_016674023.1
XM_007577294.2
XM_007546522.1
XM_007546855.2
XM_007564493.2
XM_016676869.1
XM_007551160.2
XM_016668513.1
XM_007559447.2
XM_016665954.1
XM_007551187.2
XM_016670967.1
XM_007558767.2
XM_007575582.2
XM_007560155.2
XM_007562906.2
XM_016674377.1
XM_016665271.1
XM_007564204.2
XR_001661434.1
XM_007560570.2
XM_016672545.1
XM_016661213.1
XM_007549279.2
XM_016664582.1
XM_007563601.2
XM_016680720.1
XM_016660991.1
XM_016668360.1
XM_007578693.2
XM_007563834.2
XM_016662498.1
XM_016669456.1
XM_007572689.2
XM_016669610.1
XM_007551716.2
XM_016665353.1
XM_007540951.2
XM_007545543.2
XM_016668888.1
XM_007575441.2
XM_016661311.1
XM_016670818.1
XM_007549334.2
XM_016675447.1
XM_016668161.1
XM_016676642.1
XM_007578452.2
XM_016660753.1
XM_016678917.1
XM_016672100.1
XM_007568604.2
XM_007555657.2
XM_007557097.2
XM_016675025.1
XM_016671326.1
XM_007577795.2
XM_016662853.1
XM_007561008.2
XM_007561230.2
XM_007551169.2
XM_007568986.2
XM_007544317.2
XM_007541320.2
XM_016670447.1
XM_007569723.2
XM_016668864.1
XM_016665162.1
XM_007576188.2
XM_016663157.1
XM_007569405.2
XM_007547145.2
XM_016676806.1
XM_007566589.2
XM_016668038.1
XM_007541306.2
XM_016679890.1
XM_007577243.2
XM_007570224.2
XM_007553026.2
XM_016665494.1
XM_007559374.2
XM_007556819.2
XM_016674961.1
XM_016680967.1
XM_016662012.1
XM_007559759.2
XM_016678517.1
XM_007553197.2
XM_007547170.2
XM_016660989.1
XM_016674718.1
XM_007553817.2
XM_007561492.2
XM_007576756.2
XM_007561054.2
XM_007561342.2
XM_007564133.2
XM_016671073.1
XM_016667081.1
XM_016672793.1
XM_007554369.2
XM_007540856.2
XM_016674745.1
XM_007548779.2
XM_007545662.2
XM_007558384.2
XM_016677460.1
XM_007565846.2
XM_016679407.1
XR_476379.2
XM_007561062.1
XM_016672502.1
XM_007570248.2
XM_007559583.2
XM_007570095.2
XM_007564028.2
XM_007578912.2
XM_016674903.1
XM_007543150.2
XM_007549328.2
XM_007552529.2
XM_007574228.2
XM_007558443.2
XM_007559486.2
XR_001663704.1
XM_016671923.1
XM_016672672.1
XM_007542103.2
XM_016668677.1
XM_016668814.1
XM_007546578.2
XM_007563197.2
XM_007564351.2
XM_016677628.1
XM_007569168.2
XM_007550887.2
XM_007545518.2
XM_007546136.2
XM_016678978.1
XM_007553474.2
XM_007573018.2
XM_007553164.2
XM_007550384.2
XM_007571124.2
XM_007557633.2
XM_016671032.1
XM_007543093.2
XM_007569026.2
XM_016668606.1
XM_007560334.2
XM_007546658.2
XM_016674458.1
XM_007552322.2
XM_007556026.2
XM_016679741.1
