XM_007563914.2
XR_001661994.1
XM_016674047.1
XM_007576740.2
XM_007574172.2
XM_007558384.2
XM_007552475.2
XM_016666813.1
XR_001663892.1
XM_007546842.2
XM_007541035.2
XM_007560974.2
XR_476191.1
XM_016662471.1
XM_007572171.2
XM_007567581.2
XR_001661135.1
XM_007544062.2
