XR_001660734.1
XM_007563914.2
XR_001661822.1
XR_001661994.1
XR_001664758.1
XR_001658792.1
XM_016677838.1
XM_007550074.1
XM_007574378.2
XM_016674047.1
XR_001663309.1
XM_007576740.2
XM_016661985.1
XM_007574172.2
XM_007542726.2
XM_007558384.2
XM_007552475.2
XR_001659509.1
XM_016666813.1
XM_007542650.2
XR_001663892.1
XM_007566281.2
XM_007546842.2
XM_007546940.2
XM_016664223.1
XR_001661738.1
XM_007569890.2
XM_007541035.2
XM_007559441.2
XM_007560974.2
XM_007578730.2
XM_007555631.2
XM_016674687.1
XR_476795.2
XM_007567611.2
XR_476191.1
XM_016674454.1
XM_007569016.1
XM_016662562.1
XM_007552106.2
XM_016681267.1
XM_016662471.1
XM_007570376.2
XR_001664477.1
XR_001663435.1
XM_007562257.2
XR_001661919.1
XR_001662925.1
XM_016663690.1
XM_016674512.1
XM_007572171.2
XR_001660928.1
XR_001664541.1
XM_007556976.2
XM_016679890.1
XM_016664776.1
XM_007567266.2
XM_007567581.2
XM_007563601.2
XR_001661135.1
XR_001660976.1
XR_001659593.1
XM_007570711.2
XM_016663721.1
XM_007563016.2
XM_007552047.1
XM_007569804.2
XM_016674688.1
XM_016678383.1
XM_007549888.2
XM_007562884.2
XM_016680880.1
XM_016674588.1
XM_007559932.2
XR_001662178.1
XM_007571124.2
XM_007544062.2
XR_001662069.1
XM_016669204.1
XM_016663006.1
XR_477147.2
XM_007554891.2
XM_007561622.2
XM_016664106.1
XM_007550815.2
XM_007565203.2
XM_007549624.2
XM_016668360.1
XR_475981.2
XM_016673573.1
XM_007542787.2
XM_007577641.2
XM_016664432.1
XM_007557159.2
XM_007563736.2
XM_007574094.2
XM_007577089.2
XM_007566145.2
XM_016671305.1
XM_007576710.2
